,paraV2Single_meanTimeTaken,paraV2Single_stdDevTimeTaken,paraV2Multiprocessed_meanTimeTaken,paraV2Multiprocessed_stdDevTimeTaken,Rebollo_meanTimeTaken,Rebollo_stdDevTimeTaken
BSA1 R1A,241.27183513641359,34.38830316259006,69.99205112457275,4.22930758526018,203.74260573387147,10.711669148280299
BSA1 R1U,140.55667653083802,6.8518566626883,43.26563153266907,7.076221728519904,121.25970554351807,2.3519032489324556
BSA1 R2U,452.169048500061,76.43538178156365,141.98810381889342,1.455081756160986,357.04239830970766,0.5544004650745924
BSA2 R1A,155.04387497901917,2.54287118852469,55.00564045906067,1.61943425353196,129.3874771118164,0.8495024224153974
BSA2 R1U,191.29237294197083,8.65402589858004,67.8640498161316,6.247215780298216,161.5274574279785,3.0608305228461496
BSA2 R2U,149.71932291984558,1.97864973132049,55.367240524291994,8.069761675593305,124.88972544670105,2.3276149096195566
BSA3 R1A,181.82261428833007,1.79244411039102,69.75525116920471,3.285621407743301,149.9928096294403,2.361131188618838
BSA3 R1U,183.04486865997313,2.06699354775412,70.64645185470582,1.56138028471323,154.89086122512816,3.118311381454229
BSA3 R2U,213.35850415229797,2.14501857995477,88.48246464729309,2.915277109325125,176.0731216430664,0.7534527740139682
CA1 R1A,150.486549949646,2.9779117201227,73.86565389633179,4.298832634967189,128.3753725528717,2.9597762254324214
CA1 R1U,183.83856773376465,5.79247648934711,80.95365934371948,6.523291230963164,147.4882707118988,1.4874902182106973
CA1 R2U,244.5117718219757,34.92437123900805,96.49367060661316,5.06888451345064,198.39564213752746,0.40016234939445067
CA2 R1A,124.80844559669495,8.49242858598087,69.83784666061402,4.166970118764885,103.87445816993713,1.2345299721525056
CA2 R1U,182.94756631851197,8.63641184289898,83.0384608745575,5.82937585402761,142.77561779022216,0.5289615033424683
CA2 R2U,347.14103841781616,9.62801511128379,150.23450984954835,2.071036123950325,289.210142993927,8.834345076269633
CA3 R1A,187.29700164794923,3.81133347665347,104.33847622871399,3.423907701472857,156.23328218460082,8.636104438967855
CA3 R1U,136.72590665817262,4.34060517463456,82.78326048851014,7.40498198821405,114.5108962059021,3.0616000245448602
CA3 R2U,261.7344969272614,38.23382461103475,120.25351371765137,8.581876858425005,209.69045362472534,9.039632746533437
IGG1 R1A,231.78177976608276,26.44358729755261,113.06648263931274,6.569828392307976,185.14650964736938,1.1926846747926465
IGG1 R1U,421.99872131347655,29.88391648303843,191.18413949012756,3.22973382766838,336.2141840457916,1.8951892704924274
IGG1 R2U,388.68558831214904,6.7539455719077,168.51372303962708,4.50063321922165,269.6448270320892,2.502453472918653
IGG2 R1A,264.9984040260315,7.0795033216211,152.40811133384705,3.165322311978628,208.41889271736144,2.7761514699893413
IGG2 R1U,207.96015162467955,10.302726214124185,146.36810665130616,3.416745156980877,169.21597290039062,2.5345092827828304
IGG2 R2U,487.1251754760742,47.61660971416083,278.74980344772337,3.82227817672647,383.96209888458253,3.727875317490415
IGG3 R1A,317.23497281074526,13.76832141945977,225.17136445045472,4.92125681006164,255.62043538093567,3.103777748632322
IGG3 R1U,170.2823516368866,1.63970808334444,158.128915309906,6.56478562325432,138.39210152626038,2.9460010753801575
IGG3 R2U,300.2494420528412,17.7604718703973,240.10737533569335,6.829404478508835,242.54360032081604,9.259017201020212
